WorkRef,VISTAPublisher,PublicationDate,WorkAlert,ExcludedFromConfirmation,ConfirmationRestrictionAdded,ConfirmationNotes,WorkStatus,Imprint,CommissioningEditor,ISBN,ProductType,EditionTarget,Binding,Format,EditionVISTAProdType,EditionPriceSynchronisationTemplate,EditionExtent,EditionEmbargoedUntil
C100125152633,Picador,11/4/2025,,No,No,,Acquired,Picador,Picador Editor,9781447240457,Book,Main Market Ed.,Paperback,,Paperback,,336,
C103214164953,Fic Non Fic Pic,11/4/2025,,No,No,,No Head Contract Required,Macmillan Children's Books,Macmillan Children's Books Editor,9781447247258,EBook,Ebook,,epub,Dig Ed Adobe,MCB High,288,
20016,Mantle,11/4/2025,,No,No,,No Head Contract Required,Pan,Pan Editor,9781447245209,EBook Bundle,Ebook,,epub,Online,,600,
C102486144358,Picador,11/4/2025,,No,No,,Acquired,Picador,Picador Editor,9780230771505,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,456,
C103285173341,Picador,11/4/2025,,No,No,,Acquired,Picador,Picador Editor,9781447238119,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,64,
C103187142744,Picador,11/4/2025,,No,No,,Acquired,Picador,Picador Editor,9781447224716,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,256,
C102674115729,Fic Non Fic Pic,11/4/2025,,No,No,,Acquired,Macmillan Children's Books,Macmillan Children's Books Editor,9781447220206,Book,Main Market Ed.,Paperback,Other,Paperback,,24,
C102785115845,Gen Non-Fiction,11/4/2025,,No,No,,Acquired,Pan,Pan Editor,9781447201182,Book,Main Market Ed.,Paperback,B Format,Paperback,,448,
C103206165810,Picador,11/4/2025,,No,No,,No Head Contract Required,Picador,Picador Editor,9781447242970,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,240,
C103412112700,Picador,11/4/2025,,No,No,,Acquired,Picador,Picador Editor,9781447240440,Book,Main Market Ed.,Paperback,B Format,Paperback,,304,
19610,Tor,11/4/2025,,No,No,,Acquired,Tor,Tor Editor,9780230771734,EBook Bundle,Ebook,,epub,Online,,700,
C103214164953,Fic Non Fic Pic,11/4/2025,,No,No,,No Head Contract Required,Macmillan Children's Books,Macmillan Children's Books Editor,9781447226130,Book,Main Market Ed.,Paperback,B Format,Paperback,,288,
19610,Tor,11/4/2025,,No,No,,Acquired,Tor,Tor Editor,9781447237617,Bind Up,Main Market Ed.,Paperback,B Format,Spl Packs PX,,576,
62618,Priddy Books,15/4/2025,,No,No,,Acquired,Priddy Books,Priddy Books Editor,9781849158305,Book,Main Market Ed.,Board Book,Other,Hardback,,16,
62657,Priddy Books,15/4/2025,,No,No,,No Head Contract Required,Priddy Books,Priddy Books Editor,9781849158787,Book,Main Market Ed.,Hardback,Other,Hardback,,16,
8159,Picador,18/4/2025,,No,No,,Acquired,Picador,Picador Editor,9780330470506,EBook,Ebook,,epub,Dig Ed Adobe,Non-Fiction High,416,
C103032151151,Picador,25/4/2025,,No,No,,Acquired,Picador,Picador Editor,9781447214878,EBook,Ebook,,epub,Dig Ed Adobe,Fiction High,256,
C102586112412,Picador,25/4/2025,,No,No,,Acquired,Picador,Picador Editor,9780330535823,Book,Main Market Ed.,Paperback,,Paperback,,432,
C103048103532,Mantle,25/4/2025,,No,No,,Acquired,Mantle,Mantle Editor,9781447216599,EBook,Ebook,,epub,Dig Ed Adobe,Fiction Low,288,
C102997164616,Picador,25/4/2025,,No,No,,Acquired,Picador,Picador Editor,9780230771512,EBook,Ebook,,epub,Dig Ed Adobe,On Demand,300,
C103018135831,Picador,25/4/2025,,No,No,,Acquired,Pan,Pan Editor,9781447213673,Book,Main Market Ed.,Paperback,B Format,Paperback,,384,
C102752151925,Gen Non-Fiction,25/4/2025,,No,No,,Acquired,Macmillan,Macmillan Editor,9780230771529,EBook,Ebook,,,Dig Ed Adobe,On Demand,356,
